OFF_RATING_ADJUSTED,DEF_RATING_ADJUSTED,AST_PCT_ADJUSTED,BLK,STL,TS_PCT,FG3_PCT,INFLUENCE_SCORE,ON_OFF_DIFF,PLAYER_NAME,PLAYER_ID_x,TEAM_ABBREVIATION,SEASON,COMPOSITE_SCORE_NORM,SALARY,VORPD,IS_SHOOTER,SEASON_WEIGHT,CLUSTER,ARCHETYPE,PCA_X,PCA_Y,PLAYER_ID_y,AGE,NET_SYNERGY_PROFILE,COMPOSITE_SYNERGY,SCENARIO
7.845454545454558,0.9636363636363684,0.2330909090909091,0.9,1.4,0.6428262621637021,0.359,0.1851339635031461,18.22136808060412,Nikola Jokić,203999,DEN,2023-24,95.87,48592024.0,1.4491,1,0.45,3,Elite Playmaker,5.745176701096956,0.9201483021196728,203999,29.0,5.087499999999992,97.905,E
5.921428571428578,0.914285714285711,0.147,0.9,2.0,0.6304217471866951,0.353,0.1998436938581823,8.315819656609463,Shai Gilgeous-Alexander,1628983,OKC,2023-24,91.39,33729226.0,1.9548,1,0.45,3,Elite Playmaker,5.170731831049287,1.472002150706517,1628983,25.0,0.0607142857142821,91.4143,E
2.358823529411765,2.5,0.0442941176470588,0.3,2.1,0.5609679295109441,0.313,0.1262177841399624,7.183523613094687,Marcus Smart,203935,MEM,2023-24,78.08,17528347.0,3.0022,1,0.45,3,Elite Playmaker,2.450879776685061,1.8473043241143736,203935,30.0,4.480000000000002,79.872,E
6.878571428571419,1.4571428571428555,0.0384285714285714,1.1,1.1,0.5621116248082049,0.244,0.1051148738391343,10.956911300486768,Jusuf Nurkić,203994,PHX,2023-24,69.73,17048050.0,2.597,1,0.45,0,Defensive Wing,2.093912209899078,0.2470561863714216,203994,29.0,2.2906249999999977,70.6463,E
7.96875,-0.8250000000000028,0.0075625,0.4,1.6,0.545386607926118,0.36,0.0965334296029228,8.512471867409442,De'Anthony Melton,1629001,PHI,2023-24,69.16,2710900.0,16.1216,1,0.45,5,Perimeter Scorer,2.3951499783180674,0.8239440892079393,1629001,26.0,-0.7050000000000068,68.878,E
0.0857142857142889,2.935714285714284,0.0289999999999999,3.6,1.2,0.5661451348732847,0.325,0.1766372820804648,6.17906336356933,Victor Wembanyama,1641705,SAS,2023-24,68.86,11770308.0,3.6876,1,0.45,4,Two-Way Big,3.550746009717124,-1.4905133924955456,1641705,20.0,-0.3888888888888904,68.7044,E
-0.2199999999999846,3.6533333333333218,0.1242666666666666,0.2,1.2,0.5287398284984492,0.294,0.0920007301587301,6.304632604012018,Dennis Smith Jr.,1628372,BKN,2023-24,65.74,3000000.0,13.428,1,0.45,0,Defensive Wing,0.513219175428521,1.9049599482938129,1628372,26.0,2.0107142857142914,66.5443,E
0.9769230769230716,0.6230769230769226,0.2486923076923077,0.1,1.0,0.5838289880094404,0.409,0.1336968382541618,0.3902313344227484,T.J. McConnell,204456,IND,2023-24,65.2,8974973.0,4.4283,1,0.45,3,Elite Playmaker,1.7975828965096865,2.024304423474881,204456,32.0,3.0777777777777877,66.4311,E
-1.5411764705882405,-0.5,0.1432941176470588,0.5,1.7,0.5871777117620761,0.417,0.1332893405699912,0.6657242478893225,Scotty Pippen Jr.,1630590,MEM,2023-24,65.26,1998018.0,19.9217,1,0.45,3,Elite Playmaker,2.1672987323762483,1.611709093119281,1630590,23.0,-1.9958333333333216,64.4617,E
-0.9153846153846246,5.207692307692312,0.1744615384615384,0.2,0.7,0.5773701618578466,0.308,0.1120098114004222,7.864596175227964,Jared Butler,1630215,WAS,2023-24,64.27,2019706.0,19.2176,1,0.45,0,Defensive Wing,0.868003914764254,1.137492164309552,1630215,23.0,-0.524999999999995,64.06,E
1.326666666666668,1.3533333333333388,0.1513333333333333,0.3,1.1,0.5252439449415071,0.273,0.1255333028410201,0.780250416166776,Russell Westbrook,201566,LAC,2023-24,65.36,2020490.0,19.7497,1,0.45,2,Versatile Scorer,0.582936903674008,2.6006186626656373,201566,35.0,-5.646875000000004,63.1012,E
4.83846153846153,1.5230769230769283,0.0885384615384615,0.4,1.0,0.5555166376580755,0.369,0.0733281961708659,9.512418091585364,Kris Dunn,1627739,UTA,2023-24,62.48,4774686.0,7.7542,1,0.45,5,Perimeter Scorer,1.5309722043116585,0.3587783391370463,1627739,30.0,-5.724999999999998,60.19,E
-0.9357142857142832,1.8714285714285808,0.1807857142857143,0.1,1.2,0.5515501075350862,0.371,0.0849387165604032,1.1468991575587502,Chris Paul,101108,GSW,2023-24,60.0,2020490.0,17.0968,1,0.45,2,Versatile Scorer,0.5949980091933871,1.87457725108168,101108,39.0,0.3449999999999946,60.138,E
1.846666666666664,0.9333333333333372,-0.0682666666666666,1.5,0.6,0.5871181786505468,0.3558647214854111,0.0980487358346413,3.196876606406717,Clint Capela,203991,ATL,2023-24,41.86,5895326.0,2.7825,0,0.45,4,Two-Way Big,0.7961123425938966,-1.912424710966388,203991,30.0,3.0833333333333286,43.0933,E
-2.6312499999999943,-0.4249999999999971,0.0755625,0.4,1.0,0.588658251231527,0.392,0.0753482561576354,-3.1131077812572605,Kyle Lowry,200768,PHI,2023-24,41.72,2020490.0,8.0495,1,0.45,6,Bench / Role Player,-0.0923273142303748,0.2949354219167883,200768,38.0,-0.1730769230769252,41.6508,E
